,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,ride_id,position,sim_schedule
118,118,1668136732,44839599,2021-11-01 10:36:27,,0 days 00:08:56,2021-11-01 10:45:23,,False,,5363,7.5,False,118,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.668137e+09  NaN   118.0     o
2  4.483960e+07  NaN   118.0     d"
119,119,1435362412,1448535898,2021-11-01 10:36:31,,0 days 00:04:47,2021-11-01 10:41:18,,False,,2870,7.5,False,119,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.435362e+09  NaN   119.0     o
2  1.448536e+09  NaN   119.0     d"
120,120,1571090443,3720505062,2021-11-01 10:38:38,,0 days 00:03:30,2021-11-01 10:42:08,,False,,2104,7.5,False,120,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.571090e+09  NaN   120.0     o
2  3.720505e+09  NaN   120.0     d"
121,121,44856873,44798266,2021-11-01 10:38:54,,0 days 00:05:04,2021-11-01 10:43:58,,False,,3040,7.5,False,121,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44856873.0  NaN   121.0     o
2  44798266.0  NaN   121.0     d"
122,122,44872126,1569646491,2021-11-01 10:39:30,,0 days 00:03:30,2021-11-01 10:43:00,,False,,2108,7.5,False,122,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.487213e+07  NaN   122.0     o
2  1.569646e+09  NaN   122.0     d"
123,123,1570983068,5124546103,2021-11-01 10:40:08,,0 days 00:06:29,2021-11-01 10:46:37,,False,,3894,7.5,False,123,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.570983e+09  NaN   123.0     o
2  5.124546e+09  NaN   123.0     d"
124,124,44810830,44768043,2021-11-01 10:41:25,,0 days 00:03:49,2021-11-01 10:45:14,,False,,2296,7.5,False,124,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44810830.0  NaN   124.0     o
2  44768043.0  NaN   124.0     d"
125,125,44866141,1552650765,2021-11-01 10:43:39,,0 days 00:04:08,2021-11-01 10:47:47,,False,,2482,7.5,False,125,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.486614e+07  NaN   125.0     o
2  1.552651e+09  NaN   125.0     d"
126,126,44843629,4254658640,2021-11-01 10:44:24,,0 days 00:03:38,2021-11-01 10:48:02,,False,,2182,7.5,False,126,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.484363e+07  NaN   126.0     o
2  4.254659e+09  NaN   126.0     d"
127,127,1448535850,313319585,2021-11-01 10:44:42,,0 days 00:03:37,2021-11-01 10:48:19,,False,,2179,7.5,False,127,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.448536e+09  NaN   127.0     o
2  3.133196e+08  NaN   127.0     d"
128,128,1576641163,44715978,2021-11-01 10:45:00,,0 days 00:05:05,2021-11-01 10:50:05,,False,,3053,7.5,False,128,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.576641e+09  NaN   128.0     o
2  4.471598e+07  NaN   128.0     d"
129,129,44821573,4407956433,2021-11-01 10:45:51,,0 days 00:03:40,2021-11-01 10:49:31,,False,,2202,7.5,False,129,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.482157e+07  NaN   129.0     o
2  4.407956e+09  NaN   129.0     d"
130,130,1435362501,1391531788,2021-11-01 10:45:59,,0 days 00:04:07,2021-11-01 10:50:06,,False,,2474,7.5,False,130,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.435363e+09  NaN   130.0     o
2  1.391532e+09  NaN   130.0     d"
131,131,479577554,484705817,2021-11-01 10:46:27,,0 days 00:03:30,2021-11-01 10:49:57,,False,,2108,7.5,False,131,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  479577554.0  NaN   131.0     o
2  484705817.0  NaN   131.0     d"
132,132,1391531584,3452720263,2021-11-01 10:47:10,,0 days 00:03:47,2021-11-01 10:50:57,,False,,2276,7.5,False,132,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.391532e+09  NaN   132.0     o
2  3.452720e+09  NaN   132.0     d"
133,133,1530303717,643586567,2021-11-01 10:48:32,,0 days 00:04:57,2021-11-01 10:53:29,,False,,2978,7.5,False,133,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.530304e+09  NaN   133.0     o
2  6.435866e+08  NaN   133.0     d"
134,134,6280811247,44833175,2021-11-01 10:48:34,,0 days 00:03:42,2021-11-01 10:52:16,,False,,2226,7.5,False,134,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  6.280811e+09  NaN   134.0     o
2  4.483318e+07  NaN   134.0     d"
135,135,3581094279,44814118,2021-11-01 10:49:51,,0 days 00:03:36,2021-11-01 10:53:27,,False,,2164,7.5,False,135,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.581094e+09  NaN   135.0     o
2  4.481412e+07  NaN   135.0     d"
136,136,311106487,44735538,2021-11-01 10:50:03,,0 days 00:06:29,2021-11-01 10:56:32,,False,,3892,7.5,False,136,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  311106487.0  NaN   136.0     o
2   44735538.0  NaN   136.0     d"
137,137,1413911141,44814942,2021-11-01 10:50:32,,0 days 00:04:14,2021-11-01 10:54:46,,False,,2548,7.5,False,137,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.413911e+09  NaN   137.0     o
2  4.481494e+07  NaN   137.0     d"
138,138,1679761048,2162745213,2021-11-01 10:51:30,,0 days 00:06:31,2021-11-01 10:58:01,,False,,3913,7.5,False,138,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.679761e+09  NaN   138.0     o
2  2.162745e+09  NaN   138.0     d"
