,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,platform,ride_id,position,sim_schedule
442,442,1435362533,44842015,2023-06-24 14:58:31,,0 days 00:03:46,2023-06-24 15:02:17,,False,,2262,7.5,False,100,442,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.435363e+09  NaN   442.0     o
2  4.484202e+07  NaN   442.0     d"
443,443,1583999595,44816467,2023-06-24 15:01:57,,0 days 00:05:17,2023-06-24 15:07:14,,False,,3175,7.5,False,100,443,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.584000e+09  NaN   443.0     o
2  4.481647e+07  NaN   443.0     d"
444,444,1433963006,1391417355,2023-06-24 15:02:01,,0 days 00:06:28,2023-06-24 15:08:29,,False,,3882,7.5,False,100,444,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.433963e+09  NaN   444.0     o
2  1.391417e+09  NaN   444.0     d"
445,445,44735538,44810830,2023-06-24 15:02:25,,0 days 00:05:06,2023-06-24 15:07:31,,False,,3068,7.5,False,100,445,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44735538.0  NaN   445.0     o
2  44810830.0  NaN   445.0     d"
446,446,3216669367,8127231895,2023-06-24 15:02:41,,0 days 00:05:50,2023-06-24 15:08:31,,False,,3502,7.5,False,100,446,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.216669e+09  NaN   446.0     o
2  8.127232e+09  NaN   446.0     d"
447,447,44856491,4246422181,2023-06-24 15:03:11,,0 days 00:05:03,2023-06-24 15:08:14,,False,,3031,7.5,False,100,447,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.485649e+07  NaN   447.0     o
2  4.246422e+09  NaN   447.0     d"
448,448,565046992,1410536910,2023-06-24 15:03:17,,0 days 00:05:52,2023-06-24 15:09:09,,False,,3523,7.5,False,100,448,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  5.650470e+08  NaN   448.0     o
2  1.410537e+09  NaN   448.0     d"
449,449,1518087765,1435362510,2023-06-24 15:04:02,,0 days 00:07:46,2023-06-24 15:11:48,,False,,4665,7.5,False,100,449,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.518088e+09  NaN   449.0     o
2  1.435363e+09  NaN   449.0     d"
450,450,1830058778,4599961513,2023-06-24 15:04:30,,0 days 00:05:30,2023-06-24 15:10:00,,False,,3300,7.5,False,100,450,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.830059e+09  NaN   450.0     o
2  4.599962e+09  NaN   450.0     d"
451,451,2323108138,3377240345,2023-06-24 15:04:58,,0 days 00:04:07,2023-06-24 15:09:05,,False,,2475,7.5,False,100,451,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.323108e+09  NaN   451.0     o
2  3.377240e+09  NaN   451.0     d"
452,452,44817967,44705690,2023-06-24 15:05:56,,0 days 00:07:57,2023-06-24 15:13:53,,False,,4776,7.5,False,100,452,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44817967.0  NaN   452.0     o
2  44705690.0  NaN   452.0     d"
453,453,3119210620,44883812,2023-06-24 15:06:08,,0 days 00:04:30,2023-06-24 15:10:38,,False,,2708,7.5,False,100,453,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.119211e+09  NaN   453.0     o
2  4.488381e+07  NaN   453.0     d"
454,454,1774593290,2408303441,2023-06-24 15:06:24,,0 days 00:07:39,2023-06-24 15:14:03,,False,,4594,7.5,False,100,454,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.774593e+09  NaN   454.0     o
2  2.408303e+09  NaN   454.0     d"
